false_index,ra_deg,dec_deg,dx_arcsec,dy_arcsec,peak_snr
98,150.11764297232114,2.3718811508286115,0.3999999999999998,0.3999999999999998,3.5298469685036578
99,150.12056460963973,2.3730293576549784,-1.1102230246251565e-16,-0.4,3.286437584249814
100,150.11718901987402,2.3699411477500862,-0.10000000000000009,-0.30000000000000004,3.437406441467015
101,150.1198207352889,2.372489116759726,0.09999999999999987,-1.1102230246251565e-16,4.940552993182307
102,150.1179459693942,2.369519043162005,-0.20000000000000007,-0.10000000000000009,4.4813285104440315
103,150.1189016247048,2.3731364262072248,-0.10000000000000009,-1.1102230246251565e-16,4.731696850178609
104,150.1172313876069,2.371769739280443,0.2999999999999998,-0.4,3.4706273342050253
105,150.11786071228696,2.369271814731483,-0.30000000000000004,0.19999999999999984,4.9232975021495555
106,150.11916317190955,2.368858929744287,-1.1102230246251565e-16,-0.20000000000000007,3.896669905658488
107,150.12130214870496,2.37230304199373,-0.30000000000000004,0.2999999999999998,3.7723399380985327
108,150.1170800449323,2.372829043104629,0.3999999999999998,-0.30000000000000004,4.0454966729349895
109,150.11686952332633,2.3708578963025237,-0.10000000000000009,-0.20000000000000007,4.909783666482984
110,150.12007301271092,2.3691722599678324,-0.10000000000000009,-1.1102230246251565e-16,3.761113244936138
111,150.12121041495968,2.3710560826131344,0.09999999999999987,-1.1102230246251565e-16,5.14851055666
112,150.12088726279964,2.3700231060442403,-1.1102230246251565e-16,-0.4,4.018838413779312
113,150.117119485539,2.370157297272113,-1.1102230246251565e-16,0.09999999999999987,2.6623138340036716
114,150.11754399912837,2.3709713043697325,-0.20000000000000007,-0.4,4.108188209436792
115,150.12057188891987,2.3719710478969724,0.3999999999999998,0.2999999999999998,4.7536966390752795
116,150.11993755662007,2.3731386989194823,-1.1102230246251565e-16,-0.20000000000000007,3.3491315928173266
117,150.12120544898588,2.369722362328997,0.3999999999999998,0.3999999999999998,3.3807268263048953
118,150.118550533122,2.3733348020563123,-0.4,-0.10000000000000009,3.642846374821515
119,150.11771615429475,2.3737018667461856,-0.4,-0.20000000000000007,3.6152971698479037
120,150.11799027186174,2.372225717807748,-0.20000000000000007,-1.1102230246251565e-16,3.543840560495206
121,150.12134088091014,2.372411054925879,-0.4,-1.1102230246251565e-16,3.7723399380985327
122,150.1192895616134,2.373211616297529,0.2999999999999998,0.09999999999999987,3.1195805629895323
123,150.12116481757667,2.3724609251335083,-1.1102230246251565e-16,-0.10000000000000009,3.8582607301054086
124,150.117756776573,2.3735090047302783,-0.30000000000000004,0.3999999999999998,3.0443479845617123
125,150.12058695263778,2.3698343688807557,-1.1102230246251565e-16,-0.10000000000000009,4.335358910697574
126,150.1206582729808,2.368983508384995,0.09999999999999987,0.09999999999999987,3.282830958587667
127,150.11815262852843,2.3695154447519102,-0.20000000000000007,-0.10000000000000009,4.0737866187522105
128,150.11700661071376,2.373494064158437,0.09999999999999987,-0.30000000000000004,6.364440973725596
129,150.1217103079636,2.373694334334076,0.2999999999999998,-1.1102230246251565e-16,3.5289779061727673
130,150.1201632882735,2.369752782320313,0.09999999999999987,0.2999999999999998,2.990283481245285
131,150.12046873724532,2.373565655686906,0.3999999999999998,-0.10000000000000009,4.4553363792292116
132,150.11746538647438,2.371421725819942,-0.10000000000000009,0.2999999999999998,3.61638182423056
133,150.1210429149288,2.3690857753567585,0.2999999999999998,0.09999999999999987,2.6348950702014555
134,150.11860000105705,2.373134044276255,0.09999999999999987,-0.4,4.7632381462179865
135,150.1182177567368,2.3724151035811927,0.2999999999999998,0.09999999999999987,4.703826980207319
136,150.11689164773344,2.369236892879407,0.2999999999999998,0.3999999999999998,3.572661090034671
137,150.11754580293774,2.3696317004738408,0.2999999999999998,-0.4,3.67557611011442
138,150.12054443556636,2.3690420090563284,0.2999999999999998,-1.1102230246251565e-16,3.0916562360344937
139,150.11786542002272,2.369241982111252,-0.30000000000000004,0.3999999999999998,4.9232975021495555
140,150.1182394320012,2.369638596089685,-0.30000000000000004,-0.20000000000000007,3.868275778678672
141,150.11865516599792,2.373323608190092,-1.1102230246251565e-16,-0.20000000000000007,3.5798646733591157
142,150.11781150985806,2.371349278856211,-0.30000000000000004,-1.1102230246251565e-16,3.6080835593447107
143,150.11739775570902,2.369432802590766,0.2999999999999998,-0.20000000000000007,3.1214723345597304
144,150.12173058357632,2.3694556997138334,0.2999999999999998,0.3999999999999998,3.096204199307528
145,150.12098047355894,2.369399750916607,-0.30000000000000004,0.3999999999999998,4.376914509796064
146,150.11777905508413,2.3689666599227173,-1.1102230246251565e-16,-1.1102230246251565e-16,4.044255342056836
147,150.12120740995067,2.371859948408996,-1.1102230246251565e-16,-0.4,3.264415464818617
148,150.12055842133285,2.3695609593565057,0.09999999999999987,-1.1102230246251565e-16,4.376298035158467
149,150.1183078295643,2.3728584978008347,0.3999999999999998,-0.4,3.461397855170535
150,150.11849488176446,2.3696169974863026,0.2999999999999998,0.19999999999999984,4.135674651306855
151,150.12019451067087,2.3701316377458608,0.3999999999999998,-0.4,3.1267233734876743
