ID,grating,z_dja,z_sys,z_sys_err,z_sys_snr,z_sys_quality,in_muse,edge,duplicate,AO_block,ra,dec
18866,G235M,3.2468,3.2474744585663524,1.987392299358979e-05,1737.058700040688,a,1,2,0,0,150.13641485,2.26468424
19650,G235M,3.1763,3.177518742814015,4.7085854745298215e-05,104.9461353830142,a,0,0,0,0,150.1562164,2.26798208
27014,G395M,5.7322,5.734293053574408,8.995040580371694e-05,616.5610539620261,a,0,0,0,0,150.08161579,2.29375541
28600,G235M,3.4865,3.487007543447717,7.697099468182251e-05,152.10680006251195,a,1,0,0,0,150.11119409,2.29841707
42812,G235M,2.9904,,,,d,1,0,0,0,150.07954494,2.34553161
42990,G235M,3.5202,3.521121896921187,0.0001198305767379,56.78423482865562,a,1,0,3,0,150.11015839,2.34666959
43129,G235M,3.5202,3.521121896921187,0.0001198305767379,56.78423482865562,a,1,0,3,0,150.11015839,2.34666959
43683,G235M,3.5249,3.52606261544765,5.2879688536816815e-05,138.18765234199736,a,1,0,0,0,150.08969066,2.34853549
44361,G235M,5.1308,5.132260396411653,9.481866492858844e-05,51.55502046363567,a,1,0,0,0,150.07672123,2.35092093
45004,G235M,5.2528,5.254917580157724,0.0001244015258365,52.08147307779337,a,1,0,0,0,150.07857439,2.35233747
45443,G235M,3.3301,3.3314385002049782,5.8227065853986696e-05,89.4842526744704,a,1,0,0,0,150.12184196,2.35373748
46091,G235M,3.188,3.1888448013842874,0.0001784968033316,40.90054854768093,a,1,0,0,0,150.11782167,2.35541026
47736,G235M,2.9861,2.9871504317981623,4.0646964489429305e-05,205.5824530434745,a,1,0,0,0,150.13779189,2.3609968
48146,G235M,3.1552,3.155380571338563,0.0004341416801085,13.401198333331568,a,1,0,0,0,150.07949241,2.36255647
48525,G235M,3.9374,3.93883538677916,9.49263103837864e-05,100.4817157089094,a,1,0,0,0,150.08151033,2.36370612
48648,G235M,3.417,3.4184674339476557,8.030341673561968e-05,237.91029179923552,a,1,0,0,0,150.0783225,2.36476518
49482,G235M,3.4182,3.4199192904280213,0.0001091955797798,113.27028314380505,a,1,1,1,0,150.07949246,2.36779416
49540,G235M,3.5651,,,,d,1,0,0,0,150.11117372,2.36757701
49694,G235M,3.4182,3.4199192904280213,0.0001091955797798,113.27028314380505,a,1,1,1,0,150.07949246,2.36779416
50654,G235M,3.4621,3.463694344321006,0.0002339035337104,31.012316594592622,a,1,0,0,0,150.11930256,2.37124542
54193,G235M,3.5345,3.5357192266194497,5.647029245177305e-05,252.2094585244984,a,1,4,0,0,150.10120262,2.39667794
54521,G235M,3.4164,3.417666420185612,0.0002080163662328,23.062243147224823,a,1,0,0,0,150.09362883,2.39552825
54969,G235M,5.8642,5.866413724150755,0.0001451091562894,143.20436359010722,a,0,0,0,0,150.12661955,2.39304608
55418,G235M,3.8395,3.840589475929619,3.821846593492806e-05,199.240336536008,a,1,0,0,1,150.10099069,2.39211075
56591,G235M,3.7526,3.753380821677738,0.0003308900440701,14.252713575133884,a,1,0,0,0,150.11778258,2.38685656
57111,G235M,3.7576,3.7588987311907305,0.0001219470908592,171.44678186306024,a,1,0,0,0,150.11472906,2.38735573
57248,G235M,3.7214,3.723101296811256,0.0001568884768721,71.19107236177045,a,1,0,0,0,150.10662644,2.38372359
59737,G235M,3.4173,,,,d,1,0,0,0,150.08672731,2.37497065
15479,G395H,5.1078,5.108947826149207,0.0003123788581952,22.785650228085377,a,1,0,0,0,150.13683,2.25183
17074,G395H,5.5034,5.50545452128854,0.0001530889063763,47.593130388649286,a,1,0,0,0,150.14934465,2.25838717
45547,G395H,4.4805,,,,d,1,0,0,0,150.14623671,2.35438008
46008,G395H,4.4088,,,,d,1,0,0,0,150.12415165,2.35584227
