ID,z_G235M,z_G235H,z_G395M,z_G395H,z_Ha_G235M,z_Ha_G235M_err,z_Ha_G235M_snr,z_Ha_G235H,z_Ha_G235H_err,z_Ha_G235H_snr,z_Ha_G395M,z_Ha_G395M_err,z_Ha_G395M_snr,z_Ha_G395H,z_Ha_G395H_err,z_Ha_G395H_snr
43129,3.5202,,3.5196,,3.5199413481112085,9.035988297618421e-05,28.943225480741937,,,,3.519367796839637,2.8128904481629234e-05,19.058214884630686,,,
43604,3.0017,3.0,3.0025,,3.0014995064540093,0.00023026891701107008,21.299619622920954,3.000083798518837,0.0013205326076970321,5.66702267846731,,,,,,
43683,3.5249,,,,3.5246064913602932,4.2454598937799696e-05,66.45336968717369,,,,,,,,,
43713,3.0017,3.0,3.0025,,3.0014995064540093,0.00023026891701107008,21.299619622920954,3.000083798518837,0.0013205326076970321,5.66702267846731,,,,,,
44361,5.1308,,,,5.130521783494298,0.0003397032116955668,26.404486750696293,,,,,,,,,
44980,5.2528,5.2574,,5.2545,5.252581062419972,0.0001287190863680598,49.65881996347853,,,,,,,5.2543472313096435,0.00023599168796098268,32.53612859008967
45004,5.2528,,,,5.252581062419972,0.0001287190863680598,49.65881996347853,,,,,,,,,
45443,3.3301,,,,3.329740489677987,8.612044652826431e-05,37.38303832426638,,,,,,,,,
45547,,,,4.4805,,,,,,,,,,4.480683587300725,0.00015422041753119297,21.295641810600745
45677,,3.7535,,3.7535,,,,,,,,,,3.753429507868189,6.291210096773855e-05,60.31423333849499
45963,,5.5194,,5.5168,,,,,,,,,,5.5152634717026245,0.0004739093785173729,14.768673901783046
46008,,,,4.4088,,,,,,,,,,4.402095157711494,0.0003830089493964226,6.454801010526351
46091,3.188,,,,3.1879720637052182,5.2623263382826414e-05,190.1953488248291,,,,,,,,,
46212,,3.3726,,,,,,,,,,,,,,
46887,,3.3249,,3.3108,,,,3.324865792972356,0.00015364464542176655,21.318469565956377,,,,,,
46979,,3.4601,,,,,,,,,,,,,,
47137,,4.0384,,4.0387,,,,,,,,,,4.038853297088122,8.340285377007043e-05,33.628279381601295
