ID,ra,dec,z_sys,z_sys_source,z_lya,delta_v_kms,lya_snr,snr_flag,quality_flag,quality_reason,lya_sys_wave,lya_peak_wave,best_center,flux_fit,flux_fit_err,fwhm_ang,fwhm_kms,alpha_skew,mu,sigma,fit_success
50654,150.11921915524886,2.3711898644444447,3.463694344321006,z_sys,3.4584053901537777,-355.21889442543653,4.258685466026151,0,0,dv_out_of_band;skew_pinned,5426.379303560718,5419.949680648243,5423.061,259.67221706339467,173.58425240058048,11.488084532812536,635.555351224764,29.999999999999996,5418.947528593253,9.774648946109474,True
50751,150.13823243,2.371613331111111,3.159992468663634,z_sys,3.1755159785638645,1118.711445954234,2.8175879196791813,0,1,ok,5057.17804438032,5076.049509660734,5075.061,149.02455839232786,40.00546718858911,2.8040035413105215,165.60508469050308,2.3703396333478975e-05,5076.046520317939,1.1954381835499641,True
50966,150.13745461840568,2.37177286,3.715756172445461,z_sys,3.7181009446757898,149.0630568407697,6.153353232639944,1,1,ok,5732.803306156774,5735.653775414017,5736.061,264.92360708407153,38.87394996690914,4.338235187210557,226.75204738196967,0.0014895608634196886,5735.649160270201,1.8455960120908785,True
50970,150.18688489679192,2.372284317777778,3.0655103966160846,z_sys,3.064396806917973,-82.11657583714334,13.131078957546372,1,1,ok,4942.319023854276,4940.965266265973,4942.061,670.8613986304339,49.824062552957585,7.137349293304396,433.2613659095339,3.6479845541584424,4938.643637778374,5.30525275537594,True
51240,150.11922476516514,2.3727172733333335,3.7190006042280377,z_sys,3.7352918970921234,1034.9663289608898,3.022674228561452,0,1,ok,5736.747464541899,5756.552300537982,5755.061,108.13251012697982,31.911092072487943,4.555882272071358,237.30254078696646,0.7040952984925049,5755.602700980068,2.1950570127729203,True
51579,150.10867511,2.374358382222222,4.522096513814507,z_sys,4.525077649730849,161.84470187301812,29.051020322992983,1,1,ok,6713.047068948882,6716.671146448301,6718.061,824.7115942067021,26.29176543035401,5.22097598488017,233.08699111010716,4.6711946989570095,6715.1290435029605,4.030633776744107,True
53947,150.10068138211412,2.3974694822222222,3.5359099966434178,z_sys,3.541620256116044,377.408882535849,7.263444466943501,1,1,ok,5514.169705619504,5521.111496752591,5521.061,813.5840307798878,111.45080375580673,11.198843873333317,608.0906342054037,0.0001825277089537318,5521.099557686628,4.7744324786207635,True
54193,150.10128602629246,2.3967334955555555,3.5357192266194497,z_sys,3.530570052612129,-340.3393056750032,2.8948339194197032,0,0,dv_out_of_band;narrow_fwhm;skew_pinned,5513.937792224467,5507.678095858987,5509.061,170.5115215027184,24524.63654132457,1.1752938234558314,63.97446929475041,29.999997574417517,5507.575570227579,1.0000000000000002,True
54521,150.09351762170343,2.39552825,3.417666420185612,z_sys,3.411665459550143,-407.2382493726084,3.55936494238502,0,0,dv_out_of_band,5370.424537027044,5363.129349211323,5365.061,191.92258171431317,52.8592884958215,11.989887802275007,670.221851861629,0.001165839103726072,5363.116594011533,5.100804395882928,True
55418,150.10087948198074,2.391999638888889,3.840589475929619,z_sys,,,0.0,0,0,fit_failed,5884.55940820336,,5879.061,,,,,,,,False
56591,150.1178659856953,2.386745448888889,3.753380821677738,z_sys,3.760725382659013,463.21640788085864,1.7086126887767212,0,1,ok,5778.542463488975,5787.471025937082,5784.061,50.76676231830175,28.583773474919855,3.3282716694166083,172.43923690142162,2.7580101650725357,5786.332406681756,2.3350453343854305,True
57111,150.11467345618294,2.387244618888889,3.7588987311907305,z_sys,3.770424602864664,726.0859276273331,2.8417049290031065,0,1,ok,5785.250420546636,5799.262076964486,5803.061,127.18502204229432,299.12967441233536,2.8126317036649198,145.4049300895013,29.736330470921594,5799.017759380058,2.382990292998951,True
57248,150.10668204367022,2.3837791455555553,3.723101296811256,z_sys,3.7285981535688375,348.9055379231232,6.86727961610662,1,1,ok,5741.73255349454,5748.414917349029,5750.061,330.49438514028964,47.510554784969045,6.591541532692645,343.87811384754133,4.920849703634757,5746.496675770179,5.148354411960711,True
58782,150.18005219827413,2.37831,4.932169816765184,z_sys,4.932726213481645,28.118470037652283,27.595624946948146,1,1,ok,7211.560881146932,7212.237275943233,7214.061,757.6278809241185,27.200083130187146,8.500195489511498,353.45664185489477,4.38131016904872,7209.638177707016,6.536977262029938,True
59457,150.13188632330443,2.3757847855555556,2.9917631655753545,z_sys,2.9953869961586728,272.1597030899933,3.051642813532254,0,0,narrow_fwhm,4852.666727494991,4857.072109620214,4856.061,112.68228636992099,82.64597790060974,1.6197677612062762,99.98796098540251,1.8582359443043683,4856.526263117614,1.0152744948374335,True
59737,150.08672731,2.3749150944444444,3.4173,z_dja,3.4244002937008835,481.88135311384343,15.036421771244465,1,1,ok,5369.979091,5378.610705043353,5379.061,665.3784484966566,42.24689015531861,6.500392745965655,362.31869845870546,0.0002457719859943312,5378.60377498712,2.77132948732602,True
