ID,ra,dec,z_sys,z_sys_source,z_lya,delta_v_kms,lya_snr,snr_flag,quality_flag,quality_reason,lya_sys_wave,lya_peak_wave,lya_peak_wave_vac,best_center,flux_fit,flux_fit_err,fwhm_ang,fwhm_kms,alpha_skew,mu,sigma,fit_success,n_mc_attempted,n_mc_success,lya_peak_repeat,lya_peak_err_mc,z_lya_err_mc,delta_v_err_lya_kms,delta_v_err_sys_kms,delta_v_err_kms,flux_fit_err_mc,fwhm_kms_err_mc,frac_alpha_at_bound,frac_sigma_at_bound,frac_mu_at_bound,_grade,n_criteria_failed,tier,skew_pinned,dv_out_of_band,pass_grade_a,pass_fwhm>100,pass_dv_err<120,pass_snr>2,pass_not_pinned_or_oob
17891,150.09815698118564,2.2602663944444443,3.0928437799138218,z_sys,3.087531843080132,-389.088537394978,4.310987003327139,0,0,dv_out_of_band;skew_pinned,4975.547397927836,4967.703549269329,4969.089835677223,4971.061,310.2089131099178,66.14512769741495,12.543052919138972,757.2370928168617,14.999999999999693,4965.832631712063,10.537745509167245,True,500.0,499.0,4967.703549273255,2.288506508920152,0.0018830065530137,137.92638891533724,50.31734455078284,146.81799590604368,78.12658190630448,253.84976039975103,0.6212424849699398,0.002004008016032,0.0040080160320641,c,3,bronze,True,True,False,True,False,True,False
18444,150.12027360213534,2.2633166566666665,4.865695905931787,z_sys,4.871177961638738,280.18482063103824,3.834296701958064,0,1,ok,7130.750541964096,7135.447793461536,7137.414912625365,7135.061,176.54648441464985,47.32194873553635,10.35875816927546,435.2203368715431,0.0124127181786837,7135.414663104918,4.416276537199594,True,500.0,500.0,7135.447761688865,2.134641598065528,0.0017564115051958,89.76921593730134,27.45194019423176,93.87289891350706,55.96989952997011,188.619086701246,0.58,0.006,0.01,b,1,silver,False,False,False,True,True,True,True
18502,150.09363490210197,2.263806912222222,3.3744,z_dja,3.378797128378751,301.3501108282816,10.547205131145764,1,1,ok,5317.826848,5321.691785654816,5323.172305056197,5322.061,427.5105282104228,40.56012278155095,8.3054181465086,468.12560739216985,1.875679992232751,5318.875279501031,5.238701446039148,True,500.0,500.0,5321.691785730314,0.7635269479944723,0.0006282383864544,43.05530588998042,,43.05530588998042,44.370008574527056,58.26524237582584,0.182,0.0,0.0,d,1,silver,False,False,False,True,True,True,True
18866,150.13633145152758,2.2647953511111107,3.2474744585663524,z_sys,3.2550090705537054,531.8030443265391,2.3296545804316,0,1,ok,5163.527275045358,5171.246448462465,5172.686876800023,5172.061,188.942329387456,87.62841683486812,8.876665925263296,514.9124313343808,2.204116128470507,5168.174886908856,5.877117058795992,True,500.0,496.0,5171.246449282907,3.0792175784230524,0.0025336131957689,178.82582579135433,1.4027282053067411,178.83132727902506,104.45467057588608,434.8906581268322,0.657258064516129,0.0887096774193548,0.0262096774193548,a,1,silver,False,False,True,True,False,True,True
19819,150.11892789,2.268382813333333,3.084496294212153,z_sys,3.088105185597499,264.8841720338823,2.238219475113376,0,1,ok,4965.399609984888,4968.400359426969,4969.786830975311,4968.061,125.01742649506228,43.68029994622916,4.081895832643568,246.30242800884392,0.0210510393358415,4968.369962330343,1.7365427058234413,True,500.0,498.0,4968.400359566879,1.1274430015170869,0.0009276716198367,68.08892335678716,1.2005459875526194,68.09950656616144,46.27302875338911,149.99901750192657,0.6385542168674698,0.1204819277108433,0.0,a,0,gold,False,False,True,True,True,True,True
23341,150.12872019037997,2.2812037944444445,3.1840106038551834,z_sys,3.1815809193767777,-174.09159557926353,6.039034239058839,1,0,skew_pinned,5086.376170788632,5082.005800448455,5083.422476258767,5085.061,330.98220393376954,57.32011449869319,7.5454508010925565,445.212069234512,14.999999999999982,5080.88032354325,6.339129780161564,True,500.0,498.0,5082.005800450582,1.14562838852431,0.0009426350676556,67.54162708600504,1.1130711248798455,67.55079804675893,56.867068648221775,100.76343196293016,0.5502008032128514,0.0,0.0,a,1,silver,True,False,True,True,True,True,False
26580,150.11948845996713,2.291802978888889,3.005279481392564,z_sys,3.0077944594538533,188.2444054934931,8.883438835011361,1,1,ok,4869.0981071444985,4870.794937446492,4872.155490524266,4871.061,629.3209001992494,68.99735282250295,7.114189791464014,438.0513378473046,1.1297825287311585,4868.791075362373,3.834183959038469,True,500.0,500.0,4870.794937371565,0.6927275514614815,0.0005699831280636,42.66285131276888,1.0375065935762178,42.67546487230268,71.88908367328156,64.05904674208634,0.386,0.0,0.0,a,0,gold,False,False,True,True,True,True,True
26999,150.09337527,2.2937405133333333,3.300137844392818,z_sys,3.3034696908894725,232.28614687623377,13.23233341789166,1,1,ok,5227.548573293017,5230.142882877619,5231.598999123606,5231.061,576.8888264364147,40.90580452924048,5.9787974820355885,342.83631051898715,3.266231092847904,5228.14631364548,4.362994731872176,True,500.0,500.0,5230.142882876933,0.4231695348184528,0.0003481884761983,24.27463558241236,1.1667735437060198,24.30266020750018,42.65629744185168,30.36992708135017,0.012,0.0,0.0,a,0,gold,False,False,True,True,True,True,True
28600,150.1112496902858,2.29841707,3.487007543447717,z_sys,3.503229142388978,1083.8210036870616,2.7719583025638777,0,0,skew_pinned,5454.720460343086,5472.919696520051,5474.440571528009,5476.061,117.54009867662486,122.6302186264884,5.291457163510131,289.89421420477004,14.999719050843565,5472.130424548182,4.445491007747527,True,500.0,499.0,5472.919696523676,1.7698252398129006,0.001456232231899,97.29590066264618,5.14269777060324,97.43171776231434,53.09777135763578,269.50851462882065,0.6733466933867736,0.0440881763527054,0.0080160320641282,a,1,silver,True,False,True,True,True,True,False
29701,150.10582531977326,2.3027749655555554,3.4899060755399622,z_sys,3.4898350453106355,-4.7427110242188535,22.136425663191662,1,1,ok,5458.244118851666,5456.641241015884,5458.157769532781,5458.061,545.8307585873724,23.34903009018277,5.947587119075251,326.8826734744555,3.451571247932185,5454.684222460159,4.372132516394119,True,500.0,500.0,5456.641241017101,0.2410192606125746,0.0001983133666897,13.241446625816115,1.438668143075792,13.31937216126339,24.447238904610632,16.872301489049885,0.0,0.0,0.0,a,0,gold,False,False,True,True,True,True,True
33361,150.1186535995437,2.314427162222222,3.48937394450284,z_sys,3.4941490109940423,318.8705013677583,7.45416116550701,1,1,ok,5457.597223113768,5461.88419982695,5463.402128195127,5463.061,236.7957355810641,29.23076223324036,5.159979090287379,283.31383156586514,2.3539384822896903,5460.103398962457,3.47386471078466,True,500.0,500.0,5461.884199776146,0.6298996808536437,0.0005182885693837,34.610394698598434,1.190730626823709,34.63087149666359,29.291663052649003,41.61926848333396,0.232,0.0,0.0,a,0,gold,False,False,True,True,True,True,True
