ID,ra,dec,z_sys,z_sys_source,z_lya,delta_v_kms,lya_snr,snr_flag,quality_flag,quality_reason,lya_sys_wave,lya_peak_wave,lya_peak_wave_vac,best_center,flux_fit,flux_fit_err,fwhm_ang,fwhm_kms,alpha_skew,mu,sigma,fit_success
44361,150.07672123,2.350948707777778,5.132260396411653,z_sys,5.13280907709713,26.823768190364838,15.347033798550598,1,1,ok,7454.804996105755,7453.419169021442,7455.472010754669,7455.061,398.73768641977176,23.95467780322326,4.422213796075994,177.89928068372922,5.8758033530639,7452.2299282595495,3.522795412451438,True
44980,150.07847712879428,2.3524412033333335,5.256126889924292,z_sys,5.258310375201202,104.63221569660193,6.142586581025192,1,0,skew_pinned,7605.385776274264,7605.946182086006,7608.040173820846,7610.061,423.1941738038767,64.13751062991217,8.364110048471957,329.7299793462269,14.99999582089405,7604.698594242642,7.026906740302919,True
45004,150.07851878758936,2.352448581111111,5.254917580157724,z_sys,5.258454270835219,169.51033771494764,5.957940172988147,1,0,skew_pinned,7603.915654670342,7606.121064499781,7608.215103426251,7610.061,451.41834080549216,62.954456017086144,9.909692839290074,390.66280935456894,14.999999645008367,7604.642938046862,8.325391105949947,True
45443,150.1217307550671,2.3536541466666665,3.3314385002049782,z_sys,3.33134777104721,-6.279649871117344,4.705459261184913,0,1,ok,5265.599841544186,5264.024399644316,5265.489544828963,5266.061,203.1370091353036,40.520141836337515,7.828048978075458,445.9791568528152,7.044398317628031,5262.107003032277,6.336916571523549,True
45547,150.14623671,2.3543245244444444,4.4805,z_dja,4.483820636866796,181.64435515413646,15.534694532601272,1,1,ok,6662.479435,6664.675852522892,6666.516233619859,6667.061,604.3859954055614,36.882589019022845,8.44409970756169,379.97646926226145,4.8234972568891195,6662.195192881176,6.569640998159207,True
45677,150.1413637674817,2.35503687,3.754906389376436,z_sys,3.7577921087266546,181.94194086197948,5.246657225870278,1,0,skew_pinned,5780.397050373253,5782.3015440466015,5783.905132815732,5785.061,147.51255040612767,131.90735593986165,4.586807477440743,237.8383414671199,14.999990629805621,5781.6173773850505,3.85349645005979,True
45963,150.0888703774479,2.355855602222222,5.518194894913958,z_sys,5.548408236300703,1389.6074027784678,3.3959374028523097,0,0,dv_out_of_band,7923.973987900052,7958.514264023777,7960.703440623676,7955.061,107.31111198288535,39.47245761525435,11.913610931982475,448.7792930246761,2.0518582902481406e-05,7958.501562946025,5.079160993283439,True
46008,150.12406824617432,2.3558978255555556,4.4088,z_dja,4.41839537888478,531.8411147221872,3.644271243822777,0,0,skew_pinned,6575.315896000001,6585.161711415512,6586.980710248861,6587.061,87.41609519874706,75.48754819649616,4.35804409152388,198.4215104080575,14.99998303501157,6584.511667023709,3.661306370169218,True
46091,150.11776606746682,2.35541026,3.1888448013842874,z_sys,3.203567745737697,1053.7100050226845,4.097456047535478,0,1,ok,5092.252959698837,5108.727415690595,5110.151201460946,5109.061,183.97462875488816,45.451635169676905,7.170183405117314,420.947346948247,1.3838654710854024,5106.498289904191,4.107960377802719,True
46212,150.15076755129388,2.35677657,3.37388307430417,z_sys,3.3748053979515547,63.217435999915104,33.515138613622895,1,1,ok,5317.19843693935,5316.840452417998,5318.319678127767,5319.061,1946.5953662074169,55.26322578040115,8.197745770925394,462.44421142091085,4.662917897327441,5314.419110520408,6.328723038210333,True
46887,150.0864819,2.359282,3.3249,z_dja,3.327995416688042,214.56740674751003,34.584149361955085,1,1,ok,5257.651183,5259.950128911081,5261.414188205152,5261.061,1439.515342308377,38.04700303872224,5.292441294849596,301.73874315821485,4.234671032258776,5258.303816065546,4.039021514905266,True
46979,150.16880099133834,2.3589189966666666,3.4614588551795977,z_sys,3.4640094882707864,171.39249485083457,23.50417053810447,1,1,ok,5423.661686476182,5425.254264997024,5426.762414606147,5426.061,806.2063478461474,33.30340586908949,6.585987847330216,364.07972108871365,1.7607212015576785,5423.069099276073,4.064408240967814,True
