ID,ra,dec,peak_snr,best_center,lya_obs
53947,150.10068138211412,2.3974694822222222,7.263444466943501,5521.061,5514.169705619504
54193,150.10128602629246,2.3967334955555555,2.8948339194197032,5509.061,5513.937792224467
54521,150.09351762170343,2.39552825,3.55936494238502,5365.061,5370.424537027044
55418,150.10087948198074,2.391999638888889,0.0,5879.061,5884.55940820336
56591,150.1178659856953,2.386745448888889,1.7086126887767212,5784.061,5778.542463488975
57111,150.11467345618294,2.387244618888889,2.8417049290031065,5803.061,5785.250420546636
57248,150.10668204367022,2.3837791455555553,6.86727961610662,5750.061,5741.73255349454
58782,150.18005219827413,2.37831,27.595624946948146,7214.061,7211.560881146932
59457,150.13188632330443,2.3757847855555556,3.051642813532254,4856.061,4852.666727494991
59737,150.08672731,2.3749150944444444,15.036421771244463,5379.061,5369.979091
